Question,op1,op2,op3,op4,ans
 ফেসবুকের নির্মাতা কে?, স্টিভ জবস, বিলগেটস, মার্ক জাকারবার্গ, টিম বার্নার্স লি,op3
 সরকারি কাজে তথ্য ও যোগাযোগ প্রযুক্তি ব্যবহারের ফলে—,(i) স্বল্প সময়ে সরকারি সেবা পাওয়া যাবে,(ii) সরকারি সেবার মান উন্নত হবে,(iii) ছুটির দিনেও অনেক সরকারি সেবা পাওয়া যাবে,নিচের কোনটি সঠিক?,"i, ii ও iii"
 ক্যাশ মেমোরি পরিস্কার করতে কোনটির সাহায্য নেওয়া যেতে পারে?, হার্ডওয়্যার, কুকিজ, ব্রাউজার, সফটওয়্যার,op4
 কীবোর্ডের ফাংশন কী এর সংখ্যা কতটি?, ১১, ১২, ১৩, ১৪,op2
 কীভাবে ভাইরাস এক কম্পিউটার থেকে আর এক কম্পিউটারে ছড়িয়ে পড়ে?, সিডির মাধ্যমে, হার্ডডিক্সের মাধ্যমে, উভয়ই, কোনোটিই নয়,op3
 এন্টিভাইরাস এর কাজ কী?,(i),(ii),(iii),নিচের কোনটি সঠিক?,ভাইরাস প্রতিহত করা
 কোন আইন কাইয়ুম হোসেনের সৃষ্টিকর্মকে নিরাপত্তা প্রদান করবে?, পাইরেসি আইন, তথ্য অধিকার আইন, রাষ্ট্রীয় আইন, কপিরাইট আইন,op2
 এই আইনের কারনে কাইয়ুম হোসেন যে সুবিধাসমুহ পাবে-,(i) সৃষ্টিকর্মের সুরক্ষা প্রদান করা,(ii) বিনিয়োগের সুফল ভোগ করা,(iii) নিজের সৃষ্টিকর্মের মালিক হিসেবে স্বীকৃতি পাওয়া,নিচের কোনটি সঠিক?,"i, ii ও iii"
 পাসওয়ার্ড সাধারণত কোন ভাষায় হতে পারে?, বাংলা, চিহ্ন, ইংরেজী, আরবি,op3
 ফেসবুকে কাউকে বন্ধু বানানোর পূর্বে কোন ব্যাপারে নিশ্চিত হওয়া প্রয়োজন?, ব্যক্তির পরিচয় সর্ম্পকে, তার মোবাইল নাম্বার সর্ম্পকে, বাড়ির ঠিকানা সর্ম্পকে, অ্যাকাউন্টের অস্তিত্ব সর্ম্পকে,op1
" যখন একজন জানে কাজটি ঠিক না, তারপরেও কাজটি ছাড়তে পারে না তখন তাকে কী বলে?", বেঠিক ব্যবহার, অকাজ, নির্ভরশীলতা, আসক্তি,op4
